section_number,title,division,subtitle,word_count,file_path
134,MODIFICATION OF MINIMUM INVENTORY REQUIREMENTS FOR C–130 AIRCRAFT.,PROCUREMENT,Air Force Programs,105,sec134_modification_of_minimum_inventory_requirements_for_c130_aircraft.txt
135,MODIFICATION OF ANNUAL REPORTS ON T–7A ADVANCED PILOT TRAINING SYSTEM.,PROCUREMENT,Air Force Programs,200,sec135_modification_of_annual_reports_on_t7a_advanced_pilot_training_system.txt
136,MODIFICATION TO PROHIBITION ON CERTAIN REDUCTIONS TO B–1 BOMBER AIRCRAFT SQUADRONS.,PROCUREMENT,Air Force Programs,153,sec136_modification_to_prohibition_on_certain_reductions_to_b1_bomber_aircraft_squadron.txt
137,MODIFICATION OF MINIMUM INVENTORY REQUIREMENTS FOR A–10 AIRCRAFT.,PROCUREMENT,Air Force Programs,224,sec137_modification_of_minimum_inventory_requirements_for_a10_aircraft.txt
138,PROCUREMENT AUTHORITY FOR OVER-THE-HORIZON RADAR SYSTEMS.,PROCUREMENT,Air Force Programs,274,sec138_procurement_authority_for_over_the_horizon_radar_systems.txt
139,PROHIBITION ON AVAILABILITY OF FUNDS FOR RETIREMENT OF KC–135 AIRCRAFT.,PROCUREMENT,Air Force Programs,111,sec139_prohibition_on_availability_of_funds_for_retirement_of_kc135_aircraft.txt
140,PROHIBITION ON REDUCTION OF KC–135 AIRCRAFT IN PMAI OF THE RESERVE COMPONENTS.,PROCUREMENT,Air Force Programs,100,sec140_prohibition_on_reduction_of_kc135_aircraft_in_pmai_of_the_reserve_components.txt
141,LIMITATION ON ISSUANCE OF ACQUISITION STRATEGY FOR THE KC–135 RECAPITALIZATION PROGRAM.,PROCUREMENT,Air Force Programs,99,sec141_limitation_on_issuance_of_acquisition_strategy_for_the_kc135_recapitalization_pr.txt
142,PROHIBITION ON CERTAIN REDUCTIONS TO INVENTORY OF E–3 AIRBORNE WARNING AND CONTROL SYSTEM AIRCRAFT.,PROCUREMENT,Air Force Programs,214,sec142_prohibition_on_certain_reductions_to_inventory_of_e3_airborne_warning_and_contro.txt
143,PROHIBITION ON AVAILABILITY OF FUNDS FOR TERMINATION OF PRODUCTION LINES FOR THE HH–60W AIRCRAFT.,PROCUREMENT,Air Force Programs,65,sec143_prohibition_on_availability_of_funds_for_termination_of_production_lines_for_the.txt
144,LIMITATION ON RETIREMENT OF F–16C/D AIRCRAFT.,PROCUREMENT,Air Force Programs,256,sec144_limitation_on_retirement_of_f16cd_aircraft.txt
145,LIMITATION ON PROCUREMENT OF KC–46A AIRCRAFT.,PROCUREMENT,Air Force Programs,210,sec145_limitation_on_procurement_of_kc46a_aircraft.txt
146,LIMITATION ON ACTIONS RELATING TO REMOTE VISION SYSTEMS OF KC–46A AIRCRAFT.,PROCUREMENT,Air Force Programs,170,sec146_limitation_on_actions_relating_to_remote_vision_systems_of_kc46a_aircraft.txt
147,LIMITATION ON RETIREMENT OF T–1A TRAINING AIRCRAFT.,PROCUREMENT,Air Force Programs,134,sec147_limitation_on_retirement_of_t1a_training_aircraft.txt
148,PLAN FOR LONG-TERM AIR FORCE FIGHTER FORCE STRUCTURE.,PROCUREMENT,Air Force Programs,333,sec148_plan_for_long_term_air_force_fighter_force_structure.txt
151,ANNUAL REPORT ON FORCE STRUCTURE CHANGES EXHIBIT FOR THE DEFENSE BUDGET.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",385,sec151_annual_report_on_force_structure_changes_exhibit_for_the_defense_budget.txt
233a,10 USC 233a .  Annual report on force structure changes exhibit for the defense budget,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",347,sec233a_10_usc_233a_annual_report_on_force_structure_changes_exhibit_for_the_defense_bud.txt
152,MULTIYEAR PROCUREMENT AUTHORITY FOR DOMESTICALLY PROCESSED CRITICAL MINERALS.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",351,sec152_multiyear_procurement_authority_for_domestically_processed_critical_minerals.txt
153,PROHIBITION ON SOLICITATION OF PROPRIETARY ARMOR FOR CERTAIN TACTICAL VEHICLES.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",81,sec153_prohibition_on_solicitation_of_proprietary_armor_for_certain_tactical_vehicles.txt
154,PROHIBITION ON AVAILABILITY OF FUNDS FOR PROCUREMENT OF CERTAIN BATTERIES.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",188,sec154_prohibition_on_availability_of_funds_for_procurement_of_certain_batteries.txt
211,ANNUAL REPORT ON UNFUNDED PRIORITIES OF THE UNDER SECRETARY OF DEFENSE FOR RESEARCH AND ENGINEERING.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",458,sec211_annual_report_on_unfunded_priorities_of_the_under_secretary_of_defense_for_resea.txt
222e,10 USC 222e .  Unfunded priorities of the Under Secretary of Defense for Research and Engineering: annual report,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",416,sec222e_10_usc_222e_unfunded_priorities_of_the_under_secretary_of_defense_for_research_a.txt
212,DELEGATION OF RESPONSIBILITY FOR CERTAIN RESEARCH PROGRAMS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",64,sec212_delegation_of_responsibility_for_certain_research_programs.txt
213,MODIFICATION TO PERSONNEL MANAGEMENT AUTHORITY TO ATTRACT EXPERTS IN SCIENCE AND ENGINEERING.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",131,sec213_modification_to_personnel_management_authority_to_attract_experts_in_science_and.txt
214,CLARIFYING ROLE OF PARTNERSHIP INTERMEDIARIES TO PROMOTE DEFENSE RESEARCH AND EDUCATION.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",106,sec214_clarifying_role_of_partnership_intermediaries_to_promote_defense_research_and_ed.txt
215,NAVAL AIR WARFARE RAPID CAPABILITIES OFFICE.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",616,sec215_naval_air_warfare_rapid_capabilities_office.txt
8029,10 USC 8029 .  Naval Air Warfare Rapid Capabilities Office,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",583,sec8029_10_usc_8029_naval_air_warfare_rapid_capabilities_office.txt
216,MODIFICATION OF SUPPORT FOR RESEARCH AND DEVELOPMENT OF BIOINDUSTRIAL MANUFACTURING PROCESSES.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",55,sec216_modification_of_support_for_research_and_development_of_bioindustrial_manufactur.txt
217,MODIFICATION TO ADMINISTRATION OF THE ADVANCED SENSORS APPLICATION PROGRAM.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",282,sec217_modification_to_administration_of_the_advanced_sensors_application_program.txt
218,MATTERS PERTAINING TO HYPERSONIC CAPABILITIES AND TESTING STRATEGIES.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",674,sec218_matters_pertaining_to_hypersonic_capabilities_and_testing_strategies.txt
219,IMPROVEMENTS TO DEFENSE QUANTUM INFORMATION SCIENCE AND TECHNOLOGY RESEARCH AND DEVELOPMENT PROGRAM.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",186,sec219_improvements_to_defense_quantum_information_science_and_technology_research_and_.txt
220,APPLICATION OF PUBLIC-PRIVATE TALENT EXCHANGE PROGRAMS IN THE DEPARTMENT OF DEFENSE TO QUANTUM INFORMATION SCIENCES AND TECHNOLOGY RESEARCH.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",147,sec220_application_of_public_private_talent_exchange_programs_in_the_department_of_defe.txt
221,SUPPORT FOR PROTECTION OF SENSITIVE RESEARCH PERFORMED ON BEHALF OF THE DEPARTMENT OF DEFENSE.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",443,sec221_support_for_protection_of_sensitive_research_performed_on_behalf_of_the_departme.txt
222,SUPPORT TO THE DEFENCE INNOVATION ACCELERATOR FOR THE NORTH ATLANTIC.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",565,sec222_support_to_the_defence_innovation_accelerator_for_the_north_atlantic.txt
223,CONSORTIUM ON USE OF ADDITIVE MANUFACTURING FOR DEFENSE CAPABILITY DEVELOPMENT.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",594,sec223_consortium_on_use_of_additive_manufacturing_for_defense_capability_development.txt
224,NEXT GENERATION AIR DOMINANCE FAMILY OF SYSTEMS DEVELOPMENT PROGRAM ACCOUNTABILITY MATRICES.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",913,sec224_next_generation_air_dominance_family_of_systems_development_program_accountabili.txt
225,CONTINUOUS CAPABILITY DEVELOPMENT AND DELIVERY PROGRAM FOR F–35 AIRCRAFT.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",181,sec225_continuous_capability_development_and_delivery_program_for_f35_aircraft.txt
226,F–35 PROPULSION AND THERMAL MANAGEMENT MODERNIZATION PROGRAM.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",509,sec226_f35_propulsion_and_thermal_management_modernization_program.txt
227,ESTABLISHMENT OR EXPANSION OF UNIVERSITY AFFILIATED RESEARCH CENTERS FOR CRITICAL MATERIALS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",936,sec227_establishment_or_expansion_of_university_affiliated_research_centers_for_critica.txt
228,POLICIES FOR MANAGEMENT AND CERTIFICATION OF LINK 16 MILITARY TACTICAL DATA LINK NETWORK.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",607,sec228_policies_for_management_and_certification_of_link_16_military_tactical_data_link.txt
229,RAPID RESPONSE TO EMERGENT TECHNOLOGY ADVANCEMENTS OR THREATS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",733,sec229_rapid_response_to_emergent_technology_advancements_or_threats.txt
230,PILOT PROGRAM TO COMMERCIALIZE PROTOTYPES OF THE DEPARTMENT OF THE AIR FORCE.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",648,sec230_pilot_program_to_commercialize_prototypes_of_the_department_of_the_air_force.txt
231,PILOT PROGRAM ON NEAR-TERM QUANTUM COMPUTING APPLICATIONS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",784,sec231_pilot_program_on_near_term_quantum_computing_applications.txt
232,PILOT PROGRAM TO FACILITATE ACCESS TO ADVANCED TECHNOLOGY DEVELOPED BY SMALL BUSINESSES FOR GROUND VEHICLE SYSTEMS OF THE ARMY.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",166,sec232_pilot_program_to_facilitate_access_to_advanced_technology_developed_by_small_bus.txt
233,LIMITATION ON AVAILABILITY OF FUNDS PENDING DOCUMENTATION ON FUTURE ATTACK RECONNAISSANCE AIRCRAFT PROGRAM.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",84,sec233_limitation_on_availability_of_funds_pending_documentation_on_future_attack_recon.txt
241,JOINT ENERGETICS TRANSITION OFFICE.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION",Energetics and Other Munitions Matters,1312,sec241_joint_energetics_transition_office.txt
148,10 USC 148 .  Joint Energetics Transition Office,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION",Energetics and Other Munitions Matters,947,sec148_10_usc_148_joint_energetics_transition_office.txt
242,CONSIDERATION OF LETHALITY IN THE ANALYSIS OF ALTERNATIVES FOR MUNITIONS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION",Energetics and Other Munitions Matters,165,sec242_consideration_of_lethality_in_the_analysis_of_alternatives_for_munitions.txt
243,PILOT PROGRAM ON INCORPORATION OF THE CL20 COMPOUND IN CERTAIN WEAPON SYSTEMS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION",Energetics and Other Munitions Matters,396,sec243_pilot_program_on_incorporation_of_the_cl20_compound_in_certain_weapon_systems.txt
244,LIMITATION ON SOURCING CHEMICAL MATERIALS FOR MUNITIONS FROM CERTAIN COUNTRIES.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION",Energetics and Other Munitions Matters,174,sec244_limitation_on_sourcing_chemical_materials_for_munitions_from_certain_countries.txt
245,DEFENSE INDUSTRIAL BASE MUNITION SURGE CAPACITY CRITICAL RESERVE.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION",Energetics and Other Munitions Matters,383,sec245_defense_industrial_base_munition_surge_capacity_critical_reserve.txt
251,CONGRESSIONAL NOTIFICATION OF CHANGES TO DEPARTMENT OF DEFENSE POLICY ON AUTONOMY IN WEAPON SYSTEMS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Plans, Reports, and Other Matters",70,sec251_congressional_notification_of_changes_to_department_of_defense_policy_on_autonom.txt
252,AUDIT TO IDENTIFY DIVERSION OF DEPARTMENT OF DEFENSE FUNDING TO CHINA’S RESEARCH LABS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Plans, Reports, and Other Matters",329,sec252_audit_to_identify_diversion_of_department_of_defense_funding_to_chinas_research_.txt
253,ANNUAL REVIEW OF STATUS OF IMPLEMENTATION PLAN FOR DIGITAL ENGINEERING CAREER TRACKS.,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Plans, Reports, and Other Matters",172,sec253_annual_review_of_status_of_implementation_plan_for_digital_engineering_career_tr.txt
301,AUTHORIZATION OF APPROPRIATIONS.,OPERATION AND MAINTENANCE,Authorization of Appropriations,52,sec301_authorization_of_appropriations.txt
311,IMPROVEMENT AND CODIFICATION OF SENTINEL LANDSCAPES PARTNERSHIP PROGRAM AUTHORITY.,OPERATION AND MAINTENANCE,Energy and Environment,682,sec311_improvement_and_codification_of_sentinel_landscapes_partnership_program_authorit.txt
312,MODIFICATION OF AUTHORITY FOR ENVIRONMENTAL RESTORATION PROJECTS AT NATIONAL GUARD FACILITIES.,OPERATION AND MAINTENANCE,Energy and Environment,306,sec312_modification_of_authority_for_environmental_restoration_projects_at_national_gua.txt
313,MODIFICATION TO TECHNICAL ASSISTANCE AUTHORITY FOR ENVIRONMENTAL RESTORATION ACTIVITIES.,OPERATION AND MAINTENANCE,Energy and Environment,455,sec313_modification_to_technical_assistance_authority_for_environmental_restoration_act.txt
314,"COORDINATION ON AGREEMENTS TO LIMIT ENCROACHMENTS AND OTHER CONSTRAINTS ON MILITARY TRAINING, TESTING, AND OPERATIONS.",OPERATION AND MAINTENANCE,Energy and Environment,165,sec314_coordination_on_agreements_to_limit_encroachments_and_other_constraints_on_milit.txt
315,REQUIREMENT FOR APPROVAL BY UNDER SECRETARY OF DEFENSE FOR ACQUISITION AND SUSTAINMENT OF WAIVER FOR SYSTEMS NOT MEETING FUEL EFFICIENCY KEY PERFORMANCE PARAMETER.,OPERATION AND MAINTENANCE,Energy and Environment,185,sec315_requirement_for_approval_by_under_secretary_of_defense_for_acquisition_and_susta.txt
316,MODIFICATION TO PROTOTYPE AND DEMONSTRATION PROJECTS FOR ENERGY RESILIENCE AT CERTAIN MILITARY INSTALLATIONS.,OPERATION AND MAINTENANCE,Energy and Environment,152,sec316_modification_to_prototype_and_demonstration_projects_for_energy_resilience_at_ce.txt
317,"AUTHORITY TO TRANSFER CERTAIN FUNDS AS PAYMENT RELATING TO NAVAL AIR STATION, MOFFETT FIELD, CALIFORNIA.",OPERATION AND MAINTENANCE,Energy and Environment,334,sec317_authority_to_transfer_certain_funds_as_payment_relating_to_naval_air_station_mof.txt
318,PROHIBITION ON REQUIRED DISCLOSURE BY DEPARTMENT OF DEFENSE CONTRACTORS OF INFORMATION RELATING TO GREENHOUSE GAS EMISSIONS.,OPERATION AND MAINTENANCE,Energy and Environment,323,sec318_prohibition_on_required_disclosure_by_department_of_defense_contractors_of_infor.txt
319,REQUIRED INFRASTRUCTURE PLAN PRIOR TO DEPLOYMENT OF CERTAIN NON-TACTICAL VEHICLES AT MILITARY INSTALLATIONS.,OPERATION AND MAINTENANCE,Energy and Environment,300,sec319_required_infrastructure_plan_prior_to_deployment_of_certain_non_tactical_vehicle.txt
320,PROHIBITION AND REPORT REQUIREMENT RELATING TO CERTAIN ENERGY PROGRAMS OF DEPARTMENT OF DEFENSE.,OPERATION AND MAINTENANCE,Energy and Environment,225,sec320_prohibition_and_report_requirement_relating_to_certain_energy_programs_of_depart.txt
321,REPORT ON SCHEDULE AND COST ESTIMATES FOR COMPLETION OF TESTING AND REMEDIATION OF CONTAMINATED SITES; PUBLICATION OF CLEANUP INFORMATION.,OPERATION AND MAINTENANCE,Energy and Environment,483,sec321_report_on_schedule_and_cost_estimates_for_completion_of_testing_and_remediation_.txt
332,BUDGET JUSTIFICATION DOCUMENT FOR FUNDING RELATING TO PERFLUOROALKYL SUBSTANCES AND POLYFLUOROALKYL SUBSTANCES.,OPERATION AND MAINTENANCE,Treatment of Perfluoroalkyl Substances and Polyfluoroalkyl Substances,134,sec332_budget_justification_document_for_funding_relating_to_perfluoroalkyl_substances_.txt
2716,"10 USC prec. 2700, 2716.  Budget justification document for funding relating to perfluoroalkyl substances and polyfluoroalkyl substances",OPERATION AND MAINTENANCE,Treatment of Perfluoroalkyl Substances and Polyfluoroalkyl Substances,96,sec2716_10_usc_prec_2700_2716_budget_justification_document_for_funding_relating_to_perf.txt
333,INCREASE OF TRANSFER AUTHORITY FOR FUNDING OF STUDY AND ASSESSMENT ON HEALTH IMPLICATIONS OF PERFLUOROALKYL SUBSTANCES AND POLYFLUOROALKYL SUBSTANCES CONTAMINATION IN DRINKING WATER BY AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY.,OPERATION AND MAINTENANCE,Treatment of Perfluoroalkyl Substances and Polyfluoroalkyl Substances,114,sec333_increase_of_transfer_authority_for_funding_of_study_and_assessment_on_health_imp.txt
334,PRIZES FOR DEVELOPMENT OF TECHNOLOGY FOR THERMAL DESTRUCTION OF PERFLUOROALKYL SUBSTANCES OR POLYFLUOROALKYL SUBSTANCES.,OPERATION AND MAINTENANCE,Treatment of Perfluoroalkyl Substances and Polyfluoroalkyl Substances,142,sec334_prizes_for_development_of_technology_for_thermal_destruction_of_perfluoroalkyl_s.txt
335,TREATMENT OF CERTAIN MATERIALS CONTAMINATED WITH PERFLUOROALKYL SUBSTANCES OR POLYFLUOROALKYL SUBSTANCES.,OPERATION AND MAINTENANCE,Treatment of Perfluoroalkyl Substances and Polyfluoroalkyl Substances,173,sec335_treatment_of_certain_materials_contaminated_with_perfluoroalkyl_substances_or_po.txt
336,GOVERNMENT ACCOUNTABILITY OFFICE REPORTS ON TESTING AND REMEDIATION OF PERFLUOROALKYL SUBSTANCES AND POLYFLUOROALKYL SUBSTANCES.,OPERATION AND MAINTENANCE,Treatment of Perfluoroalkyl Substances and Polyfluoroalkyl Substances,124,sec336_government_accountability_office_reports_on_testing_and_remediation_of_perfluoro.txt
341,MODIFICATION OF RULE OF CONSTRUCTION REGARDING PROVISION OF SUPPORT AND SERVICES TO NON-DEPARTMENT OF DEFENSE ORGANIZATIONS AND ACTIVITIES.,OPERATION AND MAINTENANCE,Logistics and Sustainment,170,sec341_modification_of_rule_of_construction_regarding_provision_of_support_and_services.txt
343,MODIFICATIONS TO CONTESTED LOGISTICS WORKING GROUP OF DEPARTMENT OF DEFENSE.,OPERATION AND MAINTENANCE,Logistics and Sustainment,407,sec343_modifications_to_contested_logistics_working_group_of_department_of_defense.txt
344,MATTERS RELATING TO BRIEFINGS ON SHIPYARD INFRASTRUCTURE OPTIMIZATION PROGRAM OF THE NAVY.,OPERATION AND MAINTENANCE,Logistics and Sustainment,331,sec344_matters_relating_to_briefings_on_shipyard_infrastructure_optimization_program_of.txt
345,FOREIGN MILITARY SALES EXCLUSION IN CALCULATION FOR CERTAIN WORKLOAD CARRYOVER OF DEPARTMENT OF THE ARMY.,OPERATION AND MAINTENANCE,Logistics and Sustainment,94,sec345_foreign_military_sales_exclusion_in_calculation_for_certain_workload_carryover_o.txt
346,PILOT PROGRAM ON OPTIMIZATION OF AERIAL REFUELING AND FUEL MANAGEMENT IN CONTESTED LOGISTICS ENVIRONMENTS THROUGH USE OF ARTIFICIAL INTELLIGENCE.,OPERATION AND MAINTENANCE,Logistics and Sustainment,514,sec346_pilot_program_on_optimization_of_aerial_refueling_and_fuel_management_in_contest.txt
347,LIMITATION ON AVAILABILITY OF FUNDS TO EXPAND LEASED FACILITIES FOR JOINT MILITARY INFORMATION SUPPORT OPERATIONS WEB OPERATIONS CENTER.,OPERATION AND MAINTENANCE,Logistics and Sustainment,146,sec347_limitation_on_availability_of_funds_to_expand_leased_facilities_for_joint_milita.txt
348,LIMITATION ON AVAILABILITY OF FUNDS PENDING SUBMISSION OF CERTAIN 30-YEAR SHIPBUILDING PLAN BY THE SECRETARY OF THE NAVY.,OPERATION AND MAINTENANCE,Logistics and Sustainment,247,sec348_limitation_on_availability_of_funds_pending_submission_of_certain_30_year_shipbu.txt
349,PLAN REGARDING CONDITION AND MAINTENANCE OF PREPOSITIONED STOCKPILES OF THE ARMY.,OPERATION AND MAINTENANCE,Logistics and Sustainment,256,sec349_plan_regarding_condition_and_maintenance_of_prepositioned_stockpiles_of_the_army.txt
350,STRATEGY AND ASSESSMENT ON USE OF AUTOMATION AND ARTIFICIAL INTELLIGENCE FOR SHIPYARD OPTIMIZATION.,OPERATION AND MAINTENANCE,Logistics and Sustainment,380,sec350_strategy_and_assessment_on_use_of_automation_and_artificial_intelligence_for_shi.txt
351,ASSESSMENT AND STRATEGY RELATING TO HARDENING OF CERTAIN MILITARY INSTALLATIONS AGAINST ATTACK BY IRAN AND IRANIAN-ASSOCIATED GROUPS.,OPERATION AND MAINTENANCE,Logistics and Sustainment,263,sec351_assessment_and_strategy_relating_to_hardening_of_certain_military_installations_.txt
352,SEMIANNUAL BRIEFINGS ON OPERATIONAL STATUS OF AMPHIBIOUS WARSHIP FLEET.,OPERATION AND MAINTENANCE,Logistics and Sustainment,470,sec352_semiannual_briefings_on_operational_status_of_amphibious_warship_fleet.txt
361,REVIEW OF NOTICE OF PRESUMED RISK ISSUED BY MILITARY AVIATION AND INSTALLATION ASSURANCE CLEARINGHOUSE.,OPERATION AND MAINTENANCE,Other Matters,90,sec361_review_of_notice_of_presumed_risk_issued_by_military_aviation_and_installation_a.txt
362,MODIFICATIONS TO MILITARY AVIATION AND INSTALLATION ASSURANCE CLEARINGHOUSE FOR REVIEW OF MISSION OBSTRUCTIONS.,OPERATION AND MAINTENANCE,Other Matters,757,sec362_modifications_to_military_aviation_and_installation_assurance_clearinghouse_for_.txt
363,MODIFICATION TO JOINT SAFETY COUNCIL.,OPERATION AND MAINTENANCE,Other Matters,244,sec363_modification_to_joint_safety_council.txt
364,DESIGNATION OF OFFICIAL RESPONSIBLE FOR COORDINATION OF RENEGOTIATION OF CERTAIN LAND LEASES OWNED BY DEPARTMENT OF DEFENSE IN HAWAII.,OPERATION AND MAINTENANCE,Other Matters,262,sec364_designation_of_official_responsible_for_coordination_of_renegotiation_of_certain.txt
365,CONTINUED DESIGNATION OF SECRETARY OF THE NAVY AS EXECUTIVE AGENT FOR NAVAL SMALL CRAFT INSTRUCTION AND TECHNICAL TRAINING SCHOOL.,OPERATION AND MAINTENANCE,Other Matters,98,sec365_continued_designation_of_secretary_of_the_navy_as_executive_agent_for_naval_smal.txt
366,ESTABLISHMENT OF CAISSON PLATOON AND SUPPORT FOR MILITARY AND STATE FUNERAL SERVICES AT ARLINGTON NATIONAL CEMETERY.,OPERATION AND MAINTENANCE,Other Matters,307,sec366_establishment_of_caisson_platoon_and_support_for_military_and_state_funeral_serv.txt
