section_number,title,division,word_count,headline,prediction_short,fraction_ai,fraction_ai_assisted,fraction_human,total_segments,num_ai_segments,num_ai_assisted_segments,num_human_segments,reliability
119C,FOREIGN MALIGN INFLUENCE RESPONSE CENTER.,INTELLIGENCE COMMUNITY MATTERS,523,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1203,MODIFICATIONS OF AUTHORITIES RELATING TO ACQUISITION AND CROSS-SERVICING AGREEMENTS.,MATTERS RELATING TO FOREIGN NATIONS,874,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1206,"PLAN TO PROVIDE CONSISTENCY OF ADMINISTRATION OF AUTHORITIES RELATING TO VETTING OF UNITS OF SECURITY FORCES OF FOREIGN COUNTRIES; MODIFICATION OF ASSESSMENT, MONITORING, AND EVALUATION OF SECURITY COOPERATION PROGRAMS AND ACTIVITIES.",MATTERS RELATING TO FOREIGN NATIONS,558,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
120,CLIMATE SECURITY ADVISORY COUNCIL.,INTELLIGENCE COMMUNITY MATTERS,954,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1210A,DEPARTMENT OF DEFENSE SUPPORT FOR STABILIZATION ACTIVITIES IN NATIONAL SECURITY INTEREST OF THE UNITED STATES.,MATTERS RELATING TO FOREIGN NATIONS,751,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1210,LEGAL INSTITUTIONAL CAPACITY BUILDING INITIATIVE FOR FOREIGN DEFENSE INSTITUTIONS.,MATTERS RELATING TO FOREIGN NATIONS,749,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1212,EXTENSION AND MODIFICATION OF AUTHORITY TO ACQUIRE PRODUCTS AND SERVICES PRODUCED IN COUNTRIES ALONG A MAJOR ROUTE OF SUPPLY TO AFGHANISTAN.,MATTERS RELATING TO FOREIGN NATIONS,262,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1215,SPECIAL IMMIGRANT VISA PROGRAM REPORTING REQUIREMENT.,MATTERS RELATING TO FOREIGN NATIONS,352,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1213,AUTHORITY FOR CERTAIN PAYMENTS TO REDRESS INJURY AND LOSS.,MATTERS RELATING TO FOREIGN NATIONS,774,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1218,SUPPORT FOR RECONCILIATION ACTIVITIES LED BY THE GOVERNMENT OF AFGHANISTAN.,MATTERS RELATING TO FOREIGN NATIONS,915,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1222,EXTENSION AND MODIFICATION OF AUTHORITY TO PROVIDE ASSISTANCE TO VETTED SYRIAN GROUPS AND INDIVIDUALS.,MATTERS RELATING TO FOREIGN NATIONS,1418,Fully Human Written,Human,0.0000,0.0000,1.0000,5,0,0,5,medium
1224,ESTABLISHING A COORDINATOR FOR DETAINED ISIS MEMBERS AND RELEVANT DISPLACED POPULATIONS IN SYRIA.,MATTERS RELATING TO FOREIGN NATIONS,1011,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1225,REPORT ON LESSONS LEARNED FROM EFFORTS TO LIBERATE MOSUL AND RAQQAH FROM CONTROL OF THE ISLAMIC STATE OF IRAQ AND SYRIA.,MATTERS RELATING TO FOREIGN NATIONS,259,Fully Human Written,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1233,SENSE OF CONGRESS ON UPDATING AND MODERNIZING EXISTING AGREEMENTS TO AVERT MISCALCULATION BETWEEN THE UNITED STATES AND RUSSIA.,MATTERS RELATING TO FOREIGN NATIONS,302,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1238,REPORT ON MILITARY ACTIVITIES OF THE RUSSIAN FEDERATION AND THE PEOPLE’S REPUBLIC OF CHINA IN THE ARCTIC REGION.,MATTERS RELATING TO FOREIGN NATIONS,329,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1239,UPDATED STRATEGY TO COUNTER THE THREAT OF MALIGN INFLUENCE BY THE RUSSIAN FEDERATION AND OTHER COUNTRIES.,MATTERS RELATING TO FOREIGN NATIONS,258,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1234,UNITED STATES PARTICIPATION IN OPEN SKIES TREATY.,MATTERS RELATING TO FOREIGN NATIONS,738,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1236,REPORT ON TREATIES RELATING TO NUCLEAR ARMS CONTROL.,MATTERS RELATING TO FOREIGN NATIONS,489,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1237,REPORTS RELATING TO THE NEW START TREATY.,MATTERS RELATING TO FOREIGN NATIONS,1237,Fully Human Written,Human,0.0000,0.0000,1.0000,4,0,0,4,medium
1241,SENSE OF CONGRESS ON SUPPORT FOR THE NORTH ATLANTIC TREATY ORGANIZATION.,MATTERS RELATING TO FOREIGN NATIONS,270,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1247,EXTENSION OF AUTHORITY FOR AND REPORT ON TRAINING FOR EASTERN EUROPEAN NATIONAL SECURITY FORCES IN THE COURSE OF MULTILATERAL EXERCISES.,MATTERS RELATING TO FOREIGN NATIONS,319,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1243,FUTURE YEARS PLANS AND PLANNING TRANSPARENCY FOR THE EUROPEAN DETERRENCE INITIATIVE.,MATTERS RELATING TO FOREIGN NATIONS,1036,Fully Human Written,Human,0.0000,0.0000,1.0000,4,0,0,4,medium
1245,LIMITATION ON TRANSFER OF F–35 AIRCRAFT TO TURKEY.,MATTERS RELATING TO FOREIGN NATIONS,807,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1246,BALTIC DEFENSE ASSESSMENT; EXTENSION AND MODIFICATION OF SECURITY ASSISTANCE FOR BALTIC COUNTRIES FOR JOINT PROGRAM FOR INTEROPERABILITY AND DETERRENCE AGAINST AGGRESSION.,MATTERS RELATING TO FOREIGN NATIONS,789,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1248,EXTENSION AND MODIFICATION OF NATO SPECIAL OPERATIONS HEADQUARTERS.,MATTERS RELATING TO FOREIGN NATIONS,452,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1250A,REPEAL OF PROHIBITION ON TRANSFER OF ARTICLES ON THE UNITED STATES MUNITIONS LIST TO THE REPUBLIC OF CYPRUS.,MATTERS RELATING TO FOREIGN NATIONS,578,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1251,MODIFICATION OF INDO-PACIFIC MARITIME SECURITY INITIATIVE.,MATTERS RELATING TO FOREIGN NATIONS,691,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1253,REPORT ON RESOURCING UNITED STATES DEFENSE REQUIREMENTS FOR THE INDO-PACIFIC REGION AND STUDY ON COMPETITIVE STRATEGIES.,MATTERS RELATING TO FOREIGN NATIONS,952,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1255,"REPORT ON DIRECT, INDIRECT, AND BURDEN-SHARING CONTRIBUTIONS OF JAPAN AND SOUTH KOREA.",MATTERS RELATING TO FOREIGN NATIONS,582,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1256,"SENSE OF CONGRESS ON SECURITY COMMITMENTS TO THE GOVERNMENTS OF JAPAN AND THE REPUBLIC OF KOREA AND TRILATERAL COOPERATION AMONG THE UNITED STATES, JAPAN, AND THE REPUBLIC OF KOREA.",MATTERS RELATING TO FOREIGN NATIONS,367,,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1260A,REPORT ON FOREIGN MILITARY ACTIVITIES IN PACIFIC ISLAND COUNTRIES.,MATTERS RELATING TO FOREIGN NATIONS,226,,Human,0.0000,0.0000,1.0000,0,0,0,0,low
1260C,REVIEW AND REPORT RELATED TO THE TAIWAN RELATIONS ACT.,MATTERS RELATING TO FOREIGN NATIONS,370,,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1260G,SENSE OF CONGRESS ON ENHANCING DEFENSE AND SECURITY COOPERATION WITH THE REPUBLIC OF SINGAPORE.,MATTERS RELATING TO FOREIGN NATIONS,332,,Human,0.0000,0.0000,1.0000,0,0,0,0,low
1260K,REPORT ON THE LAY-DOWN OF UNITED STATES MARINES IN THE INDO-PACIFIC REGION.,MATTERS RELATING TO FOREIGN NATIONS,324,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1258,"STATEMENT OF POLICY AND SENSE OF CONGRESS ON, AND STRATEGY TO FULFILL OBLIGATIONS UNDER, MUTUAL DEFENSE TREATY WITH THE REPUBLIC OF THE PHILIPPINES.",MATTERS RELATING TO FOREIGN NATIONS,721,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1259,REPORT ON SECURITY COOPERATION WITH THE PHILIPPINE NATIONAL POLICE.,MATTERS RELATING TO FOREIGN NATIONS,515,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1260D,SENSE OF CONGRESS ON ENHANCEMENT OF THE UNITED STATES-TAIWAN DEFENSE RELATIONSHIP.,MATTERS RELATING TO FOREIGN NATIONS,502,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1260E,CHINESE FOREIGN DIRECT INVESTMENT IN COUNTRIES OF THE ARCTIC REGION.,MATTERS RELATING TO FOREIGN NATIONS,964,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1260F,SENSE OF CONGRESS ON POLICY TOWARD HONG KONG.,MATTERS RELATING TO FOREIGN NATIONS,542,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1260I,LIMITATION ON REMOVAL OF HUAWEI TECHNOLOGIES CO. LTD. FROM ENTITY LIST OF BUREAU OF INDUSTRY AND SECURITY.,MATTERS RELATING TO FOREIGN NATIONS,487,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1262,INDEPENDENT REVIEW OF SUFFICIENCY OF RESOURCES AVAILABLE TO UNITED STATES SOUTHERN COMMAND AND UNITED STATES AFRICA COMMAND.,MATTERS RELATING TO FOREIGN NATIONS,573,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1263,UNITED STATES CENTRAL COMMAND POSTURE ASSESSMENT AND REVIEW.,MATTERS RELATING TO FOREIGN NATIONS,653,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1264,LIMITATION ON PRODUCTION OF NUCLEAR PROLIFERATION ASSESSMENT STATEMENTS.,MATTERS RELATING TO FOREIGN NATIONS,257,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1266,HUMAN RIGHTS IN BRAZIL.,MATTERS RELATING TO FOREIGN NATIONS,301,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1270,REPORT ON IMPLICATIONS OF CHINESE MILITARY PRESENCE IN DJIBOUTI.,MATTERS RELATING TO FOREIGN NATIONS,298,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1272,DEFENSE AND DIPLOMATIC STRATEGY FOR LIBYA.,MATTERS RELATING TO FOREIGN NATIONS,368,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1274,REPORT ON SAUDI-LED COALITION STRIKES IN YEMEN.,MATTERS RELATING TO FOREIGN NATIONS,247,,Human,0.0000,0.0000,1.0000,0,0,0,0,low
1275,REPORTS ON EXPENSES INCURRED FOR IN-FLIGHT REFUELING OF SAUDI COALITION AIRCRAFT CONDUCTING MISSIONS RELATING TO CIVIL WAR IN YEMEN.,MATTERS RELATING TO FOREIGN NATIONS,371,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1265,WESTERN HEMISPHERE RESOURCE ASSESSMENT.,MATTERS RELATING TO FOREIGN NATIONS,612,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1268,INDEPENDENT ANALYSIS OF HUMAN RIGHTS SITUATION IN HONDURAS.,MATTERS RELATING TO FOREIGN NATIONS,621,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1276,REPORT ON SAUDI ARABIA’S HUMAN RIGHTS RECORD.,MATTERS RELATING TO FOREIGN NATIONS,296,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1277,REPORT ON INTELLIGENCE COMMUNITY ASSESSMENT RELATING TO THE KILLING OF WASHINGTON POST COLUMNIST JAMAL KHASHOGGI.,MATTERS RELATING TO FOREIGN NATIONS,373,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1282,MODIFICATION OF RESPONSIBILITY FOR POLICY ON CIVILIAN CASUALTY MATTERS.,MATTERS RELATING TO FOREIGN NATIONS,359,,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1278,UNITED STATES-ISRAEL COOPERATION TO COUNTER UNMANNED AERIAL SYSTEMS.,MATTERS RELATING TO FOREIGN NATIONS,765,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1281,MODIFICATION OF INITIATIVE TO SUPPORT PROTECTION OF NATIONAL SECURITY ACADEMIC RESEARCHERS FROM UNDUE INFLUENCE AND OTHER SECURITY THREATS.,MATTERS RELATING TO FOREIGN NATIONS,705,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1283,REPORT ON EXPORT OF CERTAIN SATELLITES TO ENTITIES WITH CERTAIN BENEFICIAL OWNERSHIP STRUCTURES.,MATTERS RELATING TO FOREIGN NATIONS,785,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1285,REPORTS AND BRIEFINGS ON USE OF MILITARY FORCE AND SUPPORT OF PARTNER FORCES.,MATTERS RELATING TO FOREIGN NATIONS,665,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
128,STRATEGIC SEALIFT FLEET VESSEL.,PROCUREMENT,365,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
131,LIMITATION ON THE NEXT NEW CLASS OF NAVY LARGE SURFACE COMBATANTS.,PROCUREMENT,332,,Human,0.0000,0.0000,1.0000,0,0,0,0,low
132,LIMITATION ON AVAILABILITY OF FUNDS PENDING QUARTERLY UPDATES ON THE CH–53K KING STALLION HELICOPTER PROGRAM.,PROCUREMENT,351,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
133,LIMITATION ON AVAILABILITY OF FUNDS FOR VH–92A HELICOPTER.,PROCUREMENT,243,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
8692,10 USC 8692 .  Ford-class aircraft carriers: cost limitation baselines,PROCUREMENT,225,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1411,"AUTHORITY FOR TRANSFER OF FUNDS TO JOINT DEPARTMENT OF DEFENSE-DEPARTMENT OF VETERANS AFFAIRS MEDICAL FACILITY DEMONSTRATION FUND FOR CAPTAIN JAMES A. LOVELL HEALTH CARE CENTER, ILLINOIS.",OTHER AUTHORIZATIONS,226,Fully Human Written,Human,0.0000,0.0000,1.0000,1,0,0,1,low
145,LIMITATION ON AVAILABILITY OF FUNDS FOR F–15EX AIRCRAFT.,PROCUREMENT,275,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
146,LIMITATION ON AVAILABILITY OF FUNDS FOR VC–25B AIRCRAFT.,PROCUREMENT,226,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
149,AIR FORCE AGGRESSOR SQUADRON MODERNIZATION.,PROCUREMENT,311,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
152,REPORT ON AIRCRAFT FLEET OF THE CIVIL AIR PATROL.,PROCUREMENT,237,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
147,LIMITATION ON AVAILABILITY OF FUNDS FOR RC–26B AIRCRAFT.,PROCUREMENT,429,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
150,AIR FORCE PLAN FOR COMBAT RESCUE HELICOPTER FIELDING.,PROCUREMENT,478,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1520,AFGHANISTAN SECURITY FORCES FUND.,AUTHORIZATION OF ADDITIONAL APPROPRIATIONS FOR OVERSEAS CONTINGENCY OPERATIONS,1989,Fully Human Written,Human,0.0000,0.0000,1.0000,6,0,0,6,high
1553a,10 USC 1553a .  Review of a request for upgrade of discharge or dismissal,MILITARY PERSONNEL POLICY,289,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
524,PROHIBITION ON REDUCTION IN THE NUMBER OF PERSONNEL ASSIGNED TO DUTY WITH A SERVICE REVIEW AGENCY.,MILITARY PERSONNEL POLICY,241,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
525,"TRAINING OF MEMBERS OF BOARDS FOR CORRECTION OF MILITARY RECORDS AND DISCHARGE REVIEW BOARDS ON SEXUAL TRAUMA, INTIMATE PARTNER VIOLENCE, SPOUSAL ABUSE, AND RELATED MATTERS.",MILITARY PERSONNEL POLICY,232,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1605,SPACE-BASED ENVIRONMENTAL MONITORING MISSION REQUIREMENTS.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",397,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1606,RESILIENT ENTERPRISE GROUND ARCHITECTURE.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",262,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1608,COMMERCIAL SPACE SITUATIONAL AWARENESS CAPABILITIES.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",284,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1609,PROGRAM TO ENHANCE AND IMPROVE LAUNCH SUPPORT AND INFRASTRUCTURE.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",289,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1610,PREPARATION TO IMPLEMENT PLAN FOR USE OF ALLIED LAUNCH VEHICLES.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",314,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1612,STUDY ON LEVERAGING DIVERSE COMMERCIAL SATELLITE REMOTE SENSING CAPABILITIES.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",236,,Human,0.0000,0.0000,1.0000,0,0,0,0,low
1613,ANNUAL REPORT ON SPACE COMMAND AND CONTROL PROGRAM.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",340,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1607,PROTOTYPE PROGRAM FOR MULTI-GLOBAL NAVIGATION SATELLITE SYSTEM RECEIVER DEVELOPMENT.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",990,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1611,INDEPENDENT STUDY ON PLAN FOR DETERRENCE IN SPACE.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",703,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
161,ECONOMIC ORDER QUANTITY CONTRACTING AND BUY-TO-BUDGET ACQUISITION FOR F–35 AIRCRAFT PROGRAM.,PROCUREMENT,567,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1622,MODIFICATIONS TO ISR INTEGRATION COUNCIL AND ANNUAL BRIEFING REQUIREMENTS.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",875,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1624,IMPROVING THE ONBOARDING METHODOLOGY FOR INTELLIGENCE PERSONNEL.,"STRATEGIC PROGRAMS, CYBER, AND INTELLIGENCE MATTERS",335,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
